46665	46718	46723	63
47014	47011	46980	64
47530	47532	47555	63
47816	47845	47812	63
48065	48114	48128	64
48643	48666	48676	64
48925	48939	48940	63
49199	49227	49192	64
49465	49509	49523	64
50040	50052	50065	63
50281	50338	50323	63
50627	50623	50580	64
51161	51181	51144	64
51435	51431	51449	64
51671	51729	51717	64
52272	52269	52307	64
52544	52557	52549	64
52815	52818	52826	63
53406	53390	53376	63
53647	53655	53677	63
53918	53915	53951	64
54190	54218	54182	63
54785	54776	54761	64
55026	55016	55038	64
55307	55290	55326	64
55845	55860	55897	64
56172	56149	56140	63
56385	56405	56397	64
56951	56991	56937	64
57216	57234	57256	64
57523	57524	57515	64
58041	58045	58082	63
58349	58373	58326	63
58599	58605	58652	63
59139	59156	59156	64
59439	59454	59488	64
59738	59748	59704	64
60278	60307	60298	63
60553	60572	60546	64
60806	60820	60878	64
61139	61137	61110	64
61664	61702	61720	64
61982	61997	61947	63
62259	62251	62312	64
62532	62570	62573	64
63088	63135	63153	64
63421	63421	63404	63
63687	63695	63721	64
63961	64019	64034	63
64554	64592	64597	64
64831	64857	64879	63
65109	65165	65127	63
65702	65711	65709	64
65948	65982	65971	64
66250	66262	66301	64
66519	66569	66530	64
67106	67126	67153	63
67352	67410	67362	63
67626	67655	67713	64
68190	68216	68245	63
68481	68497	68536	63
68744	68792	68766	63
69351	69356	69370	63
69618	69618	69653	63
69905	69952	69999	63
70217	70231	70229	64
70729	70744	70758	63
71070	71041	71047	63
71251	71316	71335	63
71841	71849	71907	64
72090	72142	72145	63
72430	72428	72423	63
72984	72999	72986	63
73235	73248	73282	64
73471	73506	73519	63
74002	74064	74082	63
74330	74335	74338	63
74575	74597	74627	63
75125	75135	75134	63
75360	75420	75463	63
75703	75691	75702	63
76209	76215	76260	63
76463	76497	76490	63
76741	76770	76826	63
77283	77301	77337	63
77587	77594	77643	63
77899	77913	77904	63
78467	78450	78474	63
78696	78720	78730	63
78958	78976	79019	63
79323	79307	79313	63
79854	79860	79870	63
80108	80117	80130	63
80366	80402	80442	63
80949	80960	80985	63
81243	81244	81301	63
81510	81552	81506	63
82098	82111	82118	63
82347	82353	82375	63
82593	82620	82691	63
82930	82945	82923	63
83463	83497	83524	63
83769	83756	83775	63
83995	84032	84110	63
84584	84586	84638	63
84859	84874	84922	63
85160	85180	85168	63
85431	85451	85524	63
86016	86006	86015	63
86277	86327	86395	63
86623	86611	86621	63
87130	87126	87191	63
87405	87380	87429	63
87651	87703	87739	63
88196	88238	88267	63
88506	88494	88561	63
88754	88792	88802	63
89054	89084	89133	63
89613	89631	89693	63
89886	89898	89941	63
90190	90193	90217	63
90755	90755	90788	63
91003	91002	91039	63
91238	91276	91340	63
91898	91881	91933	63
92144	92165	92235	63
92478	92474	92482	63
92691	92730	92804	63
93307	93324	93323	63
93568	93598	93684	63
93891	93904	93904	63
94409	94440	94500	63
94703	94713	94712	63
94973	94994	95070	63
