20	16	19	24	30	35	17	24	18	44	41	16	29	19	40	24	10	59	49	35	16	8	
29	9	17	31	39	41	14	20	23	29	38	18	50	20	25	20	17	0	43	16	31	10	
21	10	15	26	25	21	16	18	16	29	39	18	24	10	43	14	9	0	43	21	31	17	
25	13	19	29	27	30	13	13	13	27	24	13	40	18	33	0	19	0	46	28	33	16	
25	13	19	29	27	30	13	13	13	27	24	13	40	18	33	0	19	0	46	28	33	16	
22	0	19	26	17	16	16	9	11	17	29	15	31	15	28	14	0	43	44	18	28	13	
18	2	7	28	26	28	9	13	9	22	26	18	50	26	41	0	20	45	47	20	31	16	
21	8	23	48	34	30	13	28	18	47	40	20	65	22	30	14	17	0	43	30	13	14	
31	0	27	47	39	31	11	19	14	45	37	19	70	18	31	26	22	35	47	32	22	5	
31	0	27	47	39	31	11	19	14	45	37	19	70	18	31	26	22	35	47	32	22	5	
22	15	24	40	35	28	8	31	18	61	38	28	55	28	34	20	10	35	49	14	24	11	
26	9	19	36	32	28	9	27	21	36	40	19	71	16	33	10	19	43	41	40	31	13	
26	9	19	36	32	28	9	27	21	36	40	19	71	16	33	10	19	43	41	40	31	13	
18	15	18	35	29	26	22	10	19	46	31	15	26	17	4	0	19	7	43	11	24	13	
18	15	18	35	29	26	22	10	19	46	31	15	26	17	4	0	19	7	43	11	24	13	
24	14	15	30	21	23	12	22	17	46	33	26	70	22	23	1	1	27	39	30	28	12	
37	12	17	28	27	19	11	17	22	33	32	22	34	21	34	1	12	49	47	28	25	13	
18	8	30	27	30	29	16	18	21	51	34	20	41	24	32	10	19	57	54	20	25	3	
31	14	20	38	37	35	5	28	16	44	36	22	43	20	15	7	12	61	43	21	15	12	
20	5	19	26	32	22	8	19	16	44	34	20	37	25	52	5	15	19	49	25	21	11	
17	6	22	27	24	29	3	20	7	26	34	20	37	25	52	5	15	19	49	25	21	11	
17	6	22	27	24	29	3	20	7	26	26	6	42	22	45	0	14	1	30	11	21	13	
17	5	22	23	16	15	17	26	14	21	31	20	64	14	40	24	5	23	49	20	28	11	
15	0	18	32	34	32	14	27	14	44	33	26	24	21	20	20	14	9	44	18	27	8	
24	17	16	32	31	35	14	16	20	42	37	22	65	25	21	7	1	9	46	37	31	21	
24	17	16	32	31	35	14	16	20	42	37	22	65	25	21	7	1	9	46	37	31	21	
26	5	15	29	28	31	11	28	26	38	34	22	38	19	25	24	1	29	54	42	31	17	
32	7	17	25	28	34	13	22	25	45	46	22	44	25	25	33	22	33	47	27	19	16	
31	18	29	35	30	24	9	16	14	29	41	23	36	18	49	14	12	37	46	33	30	11	
29	10	23	40	38	41	10	16	21	41	33	26	52	21	35	7	5	21	51	21	25	17	
32	7	18	30	29	31	5	27	17	35	41	19	28	19	28	22	10	37	36	11	27	22	
32	7	18	30	29	31	5	27	17	35	41	19	28	19	28	22	10	37	36	11	27	22	
15	0	10	28	39	37	18	27	26	52	33	20	55	28	42	16	22	11	39	28	30	11	
21	5	18	38	30	29	13	18	14	50	33	15	62	11	32	0	12	51	35	14	30	11	
21	5	18	38	30	29	13	18	14	50	33	15	62	11	32	0	12	51	35	14	30	11	
21	9	24	22	30	24	16	18	20	35	28	20	29	22	19	9	2	13	46	33	25	10	
25	3	12	32	29	23	15	23	10	19	37	6	29	14	24	14	12	0	36	6	21	16	
25	3	12	32	29	23	15	23	10	19	37	6	29	14	24	14	12	0	36	6	21	16	
21	8	14	30	27	25	18	20	11	30	34	21	48	18	23	3	10	33	46	35	30	16	
27	14	15	31	31	18	13	16	20	40	31	15	59	16	33	3	9	31	28	13	18	17	
27	9	26	22	28	32	15	28	17	31	34	20	49	22	41	9	14	31	47	46	27	11	
28	18	5	23	27	14	9	17	19	49	33	24	30	17	25	24	15	37	49	47	27	8	
38	18	29	38	29	43	22	16	27	34	36	24	42	25	46	0	0	0	43	25	28	17	
25	18	27	45	27	38	10	26	18	47	39	26	46	22	26	16	17	39	47	11	21	16	
25	18	27	45	27	38	10	26	18	47	39	26	46	22	26	16	17	39	47	11	21	16	
21	17	24	41	39	42	7	28	22	48	40	20	61	22	26	24	23	11	41	23	33	12	
24	7	25	37	32	35	16	19	17	38	36	19	52	20	50	5	0	17	46	39	22	22	
24	12	27	36	31	35	14	17	24	32	42	16	52	22	30	7	12	0	43	32	12	8	
27	11	16	37	28	24	8	24	22	40	35	24	41	13	31	27	20	25	47	32	25	14	
27	11	16	37	28	24	8	24	22	40	35	24	41	13	31	27	20	25	47	32	25	14	
25	11	20	34	22	23	15	21	16	45	31	26	48	25	36	14	5	23	51	25	27	8	
25	11	20	34	22	23	15	21	16	45	31	26	48	25	36	14	5	23	51	25	27	8	
32	13	26	38	33	34	11	27	23	43	41	17	49	27	41	0	20	23	51	25	15	13	
33	9	22	45	34	28	16	25	21	31	29	20	29	18	26	10	23	0	54	23	25	12	
20	11	27	31	40	29	16	16	18	52	36	17	49	24	28	26	19	35	44	18	27	14	
20	11	27	31	40	29	16	16	18	52	36	17	49	24	28	26	19	35	44	18	27	14	
28	23	20	31	26	26	20	9	12	42	32	14	35	15	10	0	14	0	44	23	22	17	
19	0	19	28	22	28	8	18	23	29	28	19	31	17	22	0	0	41	43	11	19	18	
11	0	14	28	22	26	8	25	15	37	32	14	18	14	16	5	10	47	44	28	24	7	
